,,,,,,,Casting,,,,,,,,,,,,,,,Ability,,,,,,Saving Throws,,,,,,,,
Veteran Raider Zunii,Tactician,9,74,17,+4,+4,,,,,,,,,,,,,,,,10,19,14,10,16,10,0,+4,+2,0,+3,0,"Opportunity Attack,Extra Attack,Crossbow Expert: Point-Blank,Crossbow Expert: Wounding,Psionic Empowerment,Archery",,
Zurga,Balanced,3,21,16,+2,+2,,,,,,,,,,,,,,,,14,14,12,10,8,10,+2,+2,+1,0,-1,0,"Crude Frenzy,Darkvision,Opportunity Attack",,
Zurga,Explorer,3,14,16,+2,+4,,,,,,,,,,,,,,,,14,14,12,10,8,10,+2,+2,+1,0,-1,0,"Crude Frenzy,Darkvision,Opportunity Attack",,
Zurga,Tactician,3,27,16,+2,+2,,,,,,,,,,,,,,,,14,14,12,10,8,10,+2,+2,+1,0,-1,0,"Crude Frenzy,Darkvision,Fury of the Small,Opportunity Attack",,
Zurga,Honour,3,31,16,+2,+2,,,,,,,,,,,,,,,,14,14,12,10,8,10,+2,+2,+1,0,-1,0,"Crude Frenzy,Darkvision,Fury of the Small,Opportunity Attack",,
Beastmaster Zurk,Balanced,3,19,14,+3,+2,,,,,,,,,,,,,,,,14,16,14,10,8,8,+2,+3,+2,0,-1,-1,"Adrenaline Rush,Darkvision,Opportunity Attack,Two-Weapon Fighting",,
Beastmaster Zurk,Explorer,3,13,14,+3,+4,,,,,,,,,,,,,,,,14,16,14,10,8,8,+2,+3,+2,0,-1,-1,"Adrenaline Rush,Darkvision,Opportunity Attack,Two-Weapon Fighting",,
Beastmaster Zurk,Tactician,3,24,14,+3,+2,,,,,,,,,,,,,,,,14,16,14,10,8,8,+2,+3,+2,0,-1,-1,"Adrenaline Rush,Darkvision,Fury of the Small,Opportunity Attack,Two-Weapon Fighting",,
Gate Master Zyrlak,Balanced,5,24,13,+1,+3,,,,,,,,,,,,,,,,10,12,16,18,14,12,0,+1,+6,+7,+5,+1,Opportunity Attack,"Mage Armour,Astral Conduit",
Gate Master Zyrlak,Explorer,5,16,13,+1,+5,,,,,,,,,,,,,,,,10,12,16,18,14,12,0,+1,+8,+9,+7,+1,Opportunity Attack,"Mage Armour,Astral Conduit",
Gate Master Zyrlak,Tactician,5,55,13,+1,+3,,,,,,,,,,,,,,,,10,12,16,18,14,12,0,+1,+6,+7,+5,+1,"Opportunity Attack,Psionic Empowerment","Mage Armour,Astral Conduit",
Skulla,Balanced,1,8,10,0,+2,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance,Opportunity Attack",Dead,
Skulla,Explorer,1,5,10,0,+4,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance,Opportunity Attack",Dead,
Skulla,Tactician,1,10,10,0,+2,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance,Opportunity Attack",Dead,
Vezrol,Balanced,1,8,10,0,+2,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance,Opportunity Attack",Dead,
Vezrol,Explorer,1,5,10,0,+4,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance,Opportunity Attack",Dead,
Vezrol,Tactician,1,10,10,0,+2,,,,,,,,Full Resistance,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Darkvision,Hellish Resistance,Opportunity Attack",Dead,
Night Blade Aicir Tapol,Balanced,8,52,14,+4,+3,,,,,,,,,,,,,,,,11,18,14,11,12,14,0,+7,+2,0,+1,+2,"Darkvision,Multiattack: Morphic Ambush,Opportunity Attack,Prey Upon the Weak",,
Night Blade Aicir Tapol,Explorer,8,36,14,+4,+5,,,,,,,,,,,,,,,,11,18,14,11,12,14,0,+9,+2,0,+1,+2,"Darkvision,Multiattack: Morphic Ambush,Opportunity Attack,Prey Upon the Weak",,
Night Blade Aicir Tapol,Tactician,8,67,14,+4,+3,,,,,,,,,,,,,,,,11,18,14,11,12,14,0,+7,+2,0,+1,+2,"Mindreader,Darkvision,Multiattack: Morphic Ambush,Opportunity Attack,Prey Upon the Weak",,
Akabi,Balanced,8,183,17,+1,+3,,,,,,,,Full Resistance,,Immune,,,,,Immune,22,13,24,16,15,16,+6,+1,+7,+3,+2,+3,Opportunity Attack,,
Akabi,Explorer,8,128,17,+1,+5,,,,,,,,Full Resistance,,Immune,,,,,Immune,22,13,24,16,15,16,+6,+1,+7,+3,+2,+3,Opportunity Attack,,
Akabi,Tactician,8,237,17,+1,+3,,,,,,,,Full Resistance,,Immune,,,,,Immune,22,13,24,16,15,16,+6,+1,+7,+3,+2,+3,Opportunity Attack,,
Armoured Owlbear,Balanced,1,105,19,+1,+2,,,,,,,,,,,,,,,,22,12,17,3,10,7,+6,+1,+3,-4,0,-2,"Darkvision,Magical Plate (-2),Opportunity Attack,Skittish","Dammon's Special Brew,Induced Rage",
Armoured Owlbear,Explorer,1,73,19,+1,+4,,,,,,,,,,,,,,,,22,12,17,3,10,7,+6,+1,+3,-4,0,-2,"Darkvision,Magical Plate (-2),Opportunity Attack,Skittish","Dammon's Special Brew,Induced Rage",
Armoured Owlbear,Tactician,1,136,19,+1,+2,,,,,,,,,,,,,,,,22,12,17,3,10,7,+6,+1,+3,-4,0,-2,"Darkvision,Magical Plate (-2),Opportunity Attack,Skittish","Dammon's Special Brew,Induced Rage",
Badger,Balanced,1,13,10,0,+2,,,,,,,,,,,,,,,,14,10,15,3,12,5,+2,0,+2,-4,+1,-3,Opportunity Attack,,
Badger,Explorer,1,26,10,0,+4,,,,,,,,,,,,,,,,14,10,15,3,12,5,+2,0,+2,-4,+1,-3,Opportunity Attack,,
Barsik,Balanced,1,2,12,+2,+2,,,,,,,,,,,,,,,,3,15,10,3,12,7,-4,+2,0,-4,+1,-2,"Darkvision,Feline Fall,Opportunity Attack",,
Barsik,Explorer,1,1,12,+2,+4,,,,,,,,,,,,,,,,3,15,10,3,12,7,-4,+2,0,-4,+1,-2,"Darkvision,Feline Fall,Opportunity Attack",,
Barsik,Tactician,1,2,12,+2,+2,,,,,,,,,,,,,,,,3,15,10,3,12,7,-4,+2,0,-4,+1,-2,"Darkvision,Feline Fall,Opportunity Attack",,
Biscotti,Balanced,1,5,14,+2,+2,,,,,,,,,,,,,,,,13,14,12,3,12,7,+1,+2,+1,-4,+1,-2,,,
Biscotti,Explorer,1,3,14,+2,+4,,,,,,,,,,,,,,,,13,14,12,3,12,7,+1,+2,+1,-4,+1,-2,,,
Biscotti,Tactician,1,6,14,+2,+2,,,,,,,,,,,,,,,,13,14,12,3,12,7,+1,+2,+1,-4,+1,-2,,,
Black Gauntlet of Bane,Balanced,12,82,18,0,+4,,,,,,,,,,,,,,,,18,11,18,12,15,20,+4,0,+5,+1,+6,+9,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Black Gauntlet of Bane,Explorer,12,57,18,0,+4,,,,,,,,,,,,,,,,18,11,18,12,15,20,+4,0,+5,+1,+6,+9,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Black Gauntlet of Bane,Tactician,12,106,18,0,+4,,,,,,,,,,,,,,,,18,11,18,12,15,20,+4,0,+5,+1,+6,+9,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Boo,Balanced,,20,20,+5,,,,,,,,,,,,,,,,,10,20,10,6,12,6,0,+5,0,-2,+1,-2,"Opportunity Attack,Throw Damage Immunity",,
Bored Ox,Balanced,1,15,10,0,+2,,,,,,,,,,,,,,,,18,10,14,2,10,4,+4,0,+2,-4,0,-3,,,
Bored Ox,Explorer,1,10,10,0,+4,,,,,,,,,,,,,,,,18,10,14,2,10,4,+4,0,+2,-4,0,-3,,,
Bored Ox,Tactician,1,19,10,0,+2,,,,,,,,,,,,,,,,18,10,14,2,10,4,+4,0,+2,-4,0,-3,,,
Boris,Balanced,9,10,9,-1,+4,,,Vulnerable,,,,,,,,,Immune,,,,10,8,8,18,8,5,0,-1,-1,+8,+3,-3,Opportunity Attack,,
Boris,Explorer,9,7,9,-1,+6,,,Vulnerable,,,,,,,,,Immune,,,,10,8,8,18,8,5,0,-1,-1,+10,+5,-3,Opportunity Attack,,
Boris,Tactician,9,13,9,-1,+4,,,Vulnerable,,,,,,,,,Immune,,,,10,8,8,18,8,5,0,-1,-1,+8,+3,-3,Opportunity Attack,,
Calliope Blingsdorf,Balanced,1,16,12,+1,+2,,,,,,,,,,,,,,,,10,12,12,12,14,18,0,+3,+1,+1,+2,+6,"Bardic Inspiration,Darkvision,Gnome Cunning,Opportunity Attack,Shortened Stride",,
Calliope Blingsdorf,Explorer,1,11,12,+1,+2,,,,,,,,,,,,,,,,10,12,12,12,14,18,0,+3,+1,+1,+2,+6,"Bardic Inspiration,Darkvision,Gnome Cunning,Opportunity Attack,Shortened Stride",,
Calliope Blingsdorf,Tactician,1,20,12,+1,+2,,,,,,,,,,,,,,,,10,12,12,12,14,18,0,+3,+1,+1,+2,+6,"Bardic Inspiration,Darkvision,Gnome Cunning,Opportunity Attack,Shortened Stride",,
Harper Chelvin,Balanced,8,52,14,+4,+3,,,,,,,,,,,,,,,,11,18,14,11,12,14,0,+7,+2,0,+1,+2,"Darkvision,Multiattack: Morphic Ambush,Opportunity Attack",,
Harper Chelvin,Explorer,8,36,14,+4,+5,,,,,,,,,,,,,,,,11,18,14,11,12,14,0,+9,+2,0,+1,+2,"Darkvision,Multiattack: Morphic Ambush,Opportunity Attack",,
Harper Chelvin,Tactician,8,67,14,+4,+3,,,,,,,,,,,,,,,,11,18,14,11,12,14,0,+7,+2,0,+1,+2,"Darkvision,Mindreader,Multiattack: Morphic Ambush,Opportunity Attack",,
Sister Clara,Balanced,6,48,13,+3,+3,,,,,,,,Full Resistance,,,Full Resistance,,,,,14,16,12,10,10,10,+2,+6,+1,0,0,0,Opportunity Attack,,
Sister Clara,Explorer,6,33,13,+3,+5,,,,,,,,Full Resistance,,,Full Resistance,,,,,14,16,12,10,10,10,+2,+8,+1,0,0,0,Opportunity Attack,,
Sister Clara,Tactician,6,62,13,+3,+3,,,,,,,,Full Resistance,,,Full Resistance,,,,,14,16,12,10,10,10,+2,+6,+1,0,0,0,"Opportunity Attack,Permanently Armed",,
Jaheira,Balanced,1,17,13,+2,+2,,,,,,,,,,,,,,,,10,14,14,8,17,12,0,+2,+2,+1,+5,+1,,,
Viconia DeVir,Balanced,11,124,20,+4,+4,WIS,16,,,,,,,,,,,,,,14,19,10,17,18,16,+2,+4,0,+3,+8,+7,"Born into Darkness,Darkvision,Fey Ancestry,Magic Resistance,Opportunity Attack,Rebuke of the Mighty,Shadow Ambush,Sunlight Sensitivity,Shar's Umbrae,Sharran Veil,Spellguard,Tenacity","Shield of Faith,Sanctuary,Radiant Retort,Veil of Shar,Nightbringer's Beloved",
Viconia DeVir,Explorer,11,86,20,+4,+6,WIS,18,,,,,,,,,,,,,,14,19,10,17,18,16,+2,+4,0,+3,+10,+9,"Born into Darkness,Darkvision,Fey Ancestry,Magic Resistance,Opportunity Attack,Rebuke of the Mighty,Shadow Ambush,Sunlight Sensitivity,Shar's Umbrae,Sharran Veil,Spellguard,Tenacity","Shield of Faith,Sanctuary,Veil of Shar,Nightbringer's Beloved",
Viconia DeVir,Tactician,11,161,20,+4,+4,WIS,18,,,,,,,,,,,,,,14,19,10,17,18,16,+2,+4,0,+3,+8,+7,"Protection,Sentinel: Opportunity Advantage,Sentinel: Snare,Sentinel: Vengeance,Born into Darkness,Darkvision,Fey Ancestry,Magic Resistance,Mortal Reminder,Opportunity Attack,Rebuke of the Mighty,Shadow Ambush,Sunlight Sensitivity,Shar's Umbrae,Sharran Veil,Spellguard,Tenacity","Shield of Faith,Sanctuary,Radiant Retort,Veil of Shar,Nightbringer's Beloved",
Viconia DeVir,Honour,11,161,20,+4,+4,WIS,18,,,,,,,,,,,,,,14,19,10,17,18,16,+2,+4,0,+3,+8,+7,"Impenetrable Shadow,Legendary Action: Heartwrench,Legendary Action: Sanctuary of Loss,Protection,Sentinel: Opportunity Advantage,Sentinel: Snare,Sentinel: Vengeance,Born into Darkness,Darkvision,Fey Ancestry,Magic Resistance,Mortal Reminder,Opportunity Attack,Rebuke of the Mighty,Shadow Ambush,Sunlight Sensitivity,Shar's Umbrae,Sharran Veil,Spellguard,Tenacity","Shield of Faith,Sanctuary,Radiant Retort,Veil of Shar,Nightbringer's Beloved","Dark Deliverance,Heartwrench,Sanctuary of Loss"
Conjured Cat,Balanced,1,2,12,+2,+2,,,,,,,,,,,,,,,,6,15,10,3,12,7,-2,+2,0,-4,+1,-2,"Darkvision,Feline Fall,Opportunity Attack",,
Conjured Cat,Explorer,1,4,12,+2,+4,,,,,,,,,,,,,,,,6,15,10,3,12,7,+2,+6,+4,0,+5,+2,"Darkvision,Feline Fall,Opportunity Attack",,
Corinna,Balanced,2,1,10,0,+2,,,,,,,,,,,,,,,,2,11,9,2,10,4,-4,0,-1,-4,0,-3,Darkvision,,
Corinna,Explorer,2,1,10,0,+4,,,,,,,,,,,,,,,,2,11,9,2,10,4,-4,0,-1,-4,0,-3,Darkvision,,
Corinna,Tactician,2,1,10,0,+2,,,,,,,,,,,,,,,,2,11,9,2,10,4,-4,0,-1,-4,0,-3,Darkvision,,
Manip Cragbender,Balanced,10,87,19,+2,+4,,,,,,,,,,,,Full Resistance,,,,22,15,19,10,12,8,+10,+2,+8,0,+1,-1,"Dwarven Resilience,Darkvision,Extra Attack,Opportunity Attack,Protection,Tenacity",,
Manip Cragbender,Explorer,10,60,19,+2,+6,,,,,,,,,,,,Full Resistance,,,,22,15,19,10,12,8,+12,+2,+10,0,+1,-1,"Dwarven Resilience,Darkvision,Extra Attack,Opportunity Attack,Protection,Tenacity",,
Manip Cragbender,Tactician,10,98,19,+2,+4,,,,,,,,,,,,Full Resistance,,,,22,15,19,10,12,8,+10,+2,+8,0,+1,-1,"Dwarven Resilience,Darkvision,Extra Attack,Opportunity Attack,Protection,Tenacity",,
Crimson,Balanced,9,51,14,+1,+4,STR,16,,,,,,,,,,,,,,19,13,17,2,12,5,+4,+1,+3,-4,+1,-3,Opportunity Attack,,
Crimson,Explorer,9,35,14,+1,+6,STR,18,,,,,,,,,,,,,,19,13,17,2,12,5,+4,+1,+3,-4,+1,-3,Opportunity Attack,,
Crimson,Tactician,9,66,14,+1,+4,STR,18,,,,,,,,,,,,,,19,13,17,2,12,5,+4,+1,+3,-4,+1,-3,Opportunity Attack,,
Cuddleface,Balanced,2,42,14,+2,+2,,,,,,,,,,,,,,,,18,14,14,7,11,8,+4,+2,+2,-2,0,-1,Opportunity Attack,,
Cuddleface,Explorer,2,29,14,+2,+4,,,,,,,,,,,,,,,,18,14,14,7,11,8,+4,+2,+2,-2,0,-1,Opportunity Attack,,
Cuddleface,Tactician,2,54,14,+2,+2,,,,,,,,,,,,,,,,18,14,14,7,11,8,+4,+2,+2,-2,0,-1,Opportunity Attack,,
Harper Lightspark,Balanced,5,18,11,+1,+3,,,,,,,,,,,,Full Resistance,,,,10,12,12,16,12,10,0,+1,+1,+6,+4,0,"Darkvision,Dwarven Resilience,Opportunity Attack",Dead,
Harper Lightspark,Explorer,5,12,11,+1,+5,,,,,,,,,,,,Full Resistance,,,,10,12,12,16,12,10,0,+1,+1,+8,+6,0,"Darkvision,Dwarven Resilience,Opportunity Attack",Dead,
Harper Lightspark,Tactician,5,23,11,+1,+3,,,,,,,,,,,,Full Resistance,,,,10,12,12,16,12,10,0,+1,+1,+6,+4,0,"Darkvision,Dwarven Resilience,Opportunity Attack",Dead,
Dead Mind Flayer,Balanced,5,71,13,+1,+3,,,,,,,,,,,,,,,,11,12,12,19,17,17,0,+1,+1,+7,+6,+6,"Magic Resistance,Opportunity Attack",Dead,
Dead Mind Flayer,Explorer,5,49,13,+1,+5,,,,,,,,,,,,,,,,11,12,12,19,17,17,0,+1,+1,+9,+8,+8,"Magic Resistance,Opportunity Attack",Dead,
Dead Mind Flayer,Tactician,5,92,13,+1,+3,,,,,,,,,,,,,,,,11,12,12,19,17,17,0,+1,+1,+7,+6,+6,"Charm,Magic Resistance,Opportunity Attack",Dead,
Dead Myconid Sprout,Balanced,4,42,12,0,+2,,,,,,,,Vulnerable,,,,,,,,11,10,12,10,13,7,0,0,+1,0,+1,-2,"Darkvision,Opportunity Attack,Sun Sickness",,
Death's Head of Bhaal,Balanced,8,76,15,+5,+3,,,,,,,,,,,,,,,,20,20,20,14,13,16,+5,+5,+5,+2,+1,+3,"Darkvision,Extra Attack,Magic Resistance,Murder Hungry,Opportunity Attack,Prey Upon the Weak","Aura of Murder,Unstoppable",
Death's Head of Bhaal,Tactician,8,98,15,+5,+3,,,,,,,,,,,,,,,,20,20,20,14,13,16,+5,+5,+5,+2,+1,+3,"Darkvision,Extra Attack,Magic Resistance,Murder Hungry,Opportunity Attack,Prey Upon the Weak,Sentinel: Opportunity Advantage,Sentinel: Snare,Sentinel: Vengeance","Aura of Murder,Unstoppable",
Deep Rothé (Myconid colony),Balanced,1,18,10,0,+2,,,,,,,,,,,,,,,,18,10,14,2,10,4,+4,0,+2,-4,0,-3,Opportunity Attack,,
Deep Rothé (Myconid colony),Explorer,1,12,10,0,+4,,,,,,,,,,,,,,,,18,10,14,2,10,4,+4,0,+2,-4,0,-3,Opportunity Attack,,
Deep Rothé (Myconid colony),Tactician,1,23,10,0,+2,,,,,,,,,,,,,,,,18,10,14,2,10,4,+4,0,+2,-4,0,-3,Opportunity Attack,,
Deep Rothé Calf,Balanced,1,12,10,0,+2,,,,,,,,,,,,,,,,12,10,12,2,10,4,+1,0,+1,-4,0,-3,Opportunity Attack,,
Dorrich Manne,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Brave,Halfling Luck,Opportunity Attack",,
Dorrich Manne,Explorer,1,5,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Brave,Halfling Luck,Opportunity Attack",,
Dorrich Manne,Tactician,1,10,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,"Brave,Halfling Luck,Opportunity Attack",,
Dream Guardian,Balanced,12,80,17,+3,+4,,,,,,,,,,,,,,,,13,16,12,19,15,20,+1,+3,+1,+8,+6,+9,"Charm,Magic Resistance,Opportunity Attack",,
Dream Guardian,Explorer,12,56,17,+3,+6,,,,,,,,,,,,,,,,13,16,12,19,15,20,+1,+3,+1,+10,+8,+11,"Charm,Magic Resistance,Opportunity Attack",,
Dream Guardian,Tactician,12,104,17,+3,+4,,,,,,,,,,,,,,,,13,16,12,19,15,20,+1,+3,+1,+8,+6,+9,"Charm,Magic Resistance,Opportunity Attack",,
Dribbles the Clown,Balanced,8,88,16,+4,+3,,,,,,,,,,,,,,,,18,18,14,14,14,14,+7,+7,+2,+2,+2,+2,"Darkvision,Extra Attack,Grim Irony,Multiattack: Morphic Ambush,Opportunity Attack",Clown Face-Paint,
Dribbles the Clown,Explorer,8,61,16,+4,+5,,,,,,,,,,,,,,,,18,18,14,14,14,14,+9,+9,+2,+2,+2,+2,"Darkvision,Extra Attack,Grim Irony,Multiattack: Morphic Ambush,Opportunity Attack",Clown Face-Paint,
Dribbles the Clown,Tactician,8,114,16,+4,+3,,,,,,,,,,,,,,,,18,18,14,14,14,14,+7,+7,+2,+2,+2,+2,"Darkvision,Extra Attack,Grim Irony,Mindreader,Multiattack: Morphic Ambush,Opportunity Attack",Clown Face-Paint,
Droralias Dryselis,Balanced,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Droralias Dryselis,Explorer,1,16,10,0,+4,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Droralias Dryselis,Tactician,1,8,10,0,+2,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Night Blade Edward Tremby,Balanced,8,52,14,+4,+3,,,,,,,,,,,,,,,,11,18,14,11,12,14,0,+7,+2,0,+1,+2,"Darkvision,Multiattack: Morphic Ambush,Opportunity Attack,Prey Upon the Weak",,
Night Blade Edward Tremby,Explorer,8,36,14,+4,+5,,,,,,,,,,,,,,,,11,18,14,11,12,14,0,+9,+2,0,+1,+2,"Darkvision,Multiattack: Morphic Ambush,Opportunity Attack,Prey Upon the Weak",,
Night Blade Edward Tremby,Tactician,8,67,14,+4,+3,,,,,,,,,,,,,,,,11,18,14,11,12,14,0,+7,+2,0,+1,+2,"Mindreader,Darkvision,Multiattack: Morphic Ambush,Opportunity Attack,Prey Upon the Weak",,
Elder Rothé,Balanced,1,18,10,0,+2,,,,,,,,,,,,,,,,14,10,14,2,10,4,+2,0,+2,-4,0,-3,Opportunity Attack,,
Elder Rothé,Explorer,1,12,10,0,+4,,,,,,,,,,,,,,,,14,10,14,2,10,4,+2,0,+2,-4,0,-3,Opportunity Attack,,
Elder Rothé,Tactician,1,23,10,0,+2,,,,,,,,,,,,,,,,14,10,14,2,10,4,+2,0,+2,-4,0,-3,Opportunity Attack,,
Eternal Rat,Balanced,1,1,10,0,+2,,,,,,,,,,,,,,,,2,11,9,2,10,4,-4,0,-1,-4,0,-3,"Darkvision,Forever Indebted",,
Ferr,Balanced,2,26,13,+1,+2,,,,,,,,,,,,,,,,16,13,13,7,11,8,+3,+1,+1,-2,0,-1,Opportunity Attack,,
Ferr,Explorer,2,22,13,+1,+4,,,,,,,,,,,,,,,,16,13,13,7,11,8,+3,+1,+1,-2,0,-1,Opportunity Attack,,
Ferr,Tactician,2,33,13,+1,+2,,,,,,,,,,,,,,,,16,13,13,7,11,8,+3,+1,+1,-2,0,-1,Opportunity Attack,,
Fist of Bane,Balanced,10,62,18,0,+4,,,,,,,,,,,,,,,,19,11,13,10,12,11,+4,0,+1,0,+1,0,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Fist of Bane,Explorer,10,43,18,0,+6,,,,,,,,,,,,,,,,19,11,13,10,12,11,+4,0,+1,0,+1,0,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Fist of Bane,Tactician,10,80,18,0,+4,,,,,,,,,,,,,,,,19,11,13,10,12,11,+4,0,+1,0,+1,0,"Extra Attack,Opportunity Attack,Tactical Discipline",,
Flaming Fist Archer,Balanced,8,62,16,+5,+3,,,,,,,,,,,,,,,,12,21,14,8,14,10,+4,+8,+2,-1,+2,0,"Archery,Crossbow Expert: Point-Blank,Extra Attack,Opportunity Attack",,
Flaming Fist Archer,Explorer,8,59,16,+5,+5,,,,,,,,,,,,,,,,12,21,14,8,14,10,+6,+10,+2,-1,+2,0,"Archery,Crossbow Expert: Point-Blank,Extra Attack,Opportunity Attack",,
Flaming Fist Archer,Tactician,8,64,16,+5,+3,,,,,,,,,,,,,,,,12,21,14,8,14,10,+4,+8,+2,-1,+2,0,"Archery,Crossbow Expert: Point-Blank,Extra Attack,Opportunity Attack",,
Flaming Fist Wizard,Balanced,10,43,18,+1,+4,,,,,,,,,,,,,,,,8,13,16,20,10,12,-1,+1,+3,+9,+4,+1,Opportunity Attack,Mage Armour,
Flaming Fist Wizard,Explorer,10,40,18,+1,+6,,,,,,,,,,,,,,,,8,13,16,20,10,12,-1,+1,+3,+11,+6,+1,Opportunity Attack,Mage Armour,
Flaming Fist Wizard,Tactician,10,45,18,+1,+4,,,,,,,,,,,,,,,,8,13,16,20,10,12,-1,+1,+3,+9,+4,+1,Opportunity Attack,Mage Armour,
Flinster Sunseeker,Balanced,9,86,8,-2,+4,,,,,,,,,,,,,,,,16,6,16,3,6,5,+3,-2,+3,-4,+2,-3,Opportunity Attack,Undead Fortitude,
Flinster Sunseeker,Explorer,9,60,8,-2,+6,,,,,,,,,,,,,,,,16,6,16,3,6,5,+3,-2,+3,-4,+4,-3,Opportunity Attack,Undead Fortitude,
Flinster Sunseeker,Tactician,9,111,8,-2,+4,,,,,,,,,,,,,,,,16,6,16,3,6,5,+3,-2,+3,-4,+2,-3,Opportunity Attack,Undead Fortitude,
Frightened Ox,Balanced,1,15,10,0,+2,,,,,,,,,,,,,,,,18,10,14,2,10,4,+4,0,+2,-4,0,-3,"Darkvision,Opportunity Attack",,
Frightened Ox,Explorer,1,10,10,0,+4,,,,,,,,,,,,,,,,18,10,14,2,10,4,+4,0,+2,-4,0,-3,"Darkvision,Opportunity Attack",,
Frightened Ox,Tactician,1,19,10,0,+2,,,,,,,,,,,,,,,,18,10,14,2,10,4,+4,0,+2,-4,0,-3,"Darkvision,Opportunity Attack",,
Garret Dortmell,Balanced,6,76,18,0,+3,,,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Immune,Full Resistance,,Full Resistance,20,10,17,6,14,5,+5,0,+3,-2,+2,-3,"Extra Attack,Opportunity Attack,Silent","Edict of the Old Lord Skull,Necrotic Veil,Undead Ward Aura",
Garret Dortmell,Explorer,6,53,18,0,+5,,,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Immune,Full Resistance,,Full Resistance,20,10,17,6,14,5,+5,0,+3,-2,+2,-3,"Extra Attack,Opportunity Attack,Silent","Edict of the Old Lord Skull,Necrotic Veil,Undead Ward Aura",
Garret Dortmell,Tactician,6,98,18,0,+3,,,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Full Resistance,Immune,Full Resistance,,Full Resistance,20,10,17,6,14,5,+5,0,+3,-2,+2,-3,"Extra Attack,Opportunity Attack,Silent","Edict of the Old Lord Skull,Necrotic Veil,Undead Ward Aura",
Gristle,Balanced,2,42,14,+2,+2,,,,,,,,,,,,,,,,18,14,14,7,11,8,+4,+2,+2,-2,0,-1,Opportunity Attack,,
Gristle,Explorer,2,29,14,+2,+4,,,,,,,,,,,,,,,,18,14,14,7,11,8,+4,+2,+2,-2,0,-1,Opportunity Attack,,
Gristle,Tactician,2,54,14,+2,+2,,,,,,,,,,,,,,,,18,14,14,7,11,8,+4,+2,+2,-2,0,-1,Opportunity Attack,,
Grub,Balanced,1,2,12,+2,+2,,,,,,,,,,,,,,,,3,15,10,3,12,7,-4,+2,0,-4,+1,-2,"Darkvision,Feline Fall,Opportunity Attack",,
Grub,Explorer,1,1,12,+2,+4,,,,,,,,,,,,,,,,3,15,10,3,12,7,-4,+2,0,-4,+1,-2,"Darkvision,Feline Fall,Opportunity Attack",,
Grub,Tactician,1,2,12,+2,+2,,,,,,,,,,,,,,,,3,15,10,3,12,7,-4,+2,0,-4,+1,-2,"Darkvision,Feline Fall,Opportunity Attack",,
Gujj,Balanced,8,52,14,+4,+3,,,,,,,,,,,,,,,,11,18,14,11,12,14,0,+7,+2,0,+1,+2,"Darkvision,Multiattack: Morphic Ambush,Opportunity Attack",,
Gujj,Explorer,8,36,14,+4,+5,,,,,,,,,,,,,,,,11,18,14,11,12,14,0,+9,+2,0,+1,+2,"Darkvision,Multiattack: Morphic Ambush,Opportunity Attack",,
Gujj,Tactician,8,67,14,+4,+3,,,,,,,,,,,,,,,,11,18,14,11,12,14,0,+7,+2,0,+1,+2,"Darkvision,Mindreader,Multiattack: Morphic Ambush,Opportunity Attack",,
Gustav,Balanced,1,5,14,+2,+2,,,,,,,,,,,,,,,,13,14,12,3,12,7,+1,+2,+1,-4,+1,-2,,,
Orin's Mother Helena,Balanced,,,10,0,,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,Dead,
