Name,Image,Location,Type,Rarity,Armour Type,Weight,Cost,AC,AC Mod,AC Bonus,No Crit,Resistances,Vulnerability,Skill,Skill Bonus,Skill Factor,ST Ability,ST Bonus,ST Factor,Spells,Level,Recharge,Features,Ability,Ability Bonus,Max Ability,AR Types,AR Bonus,AR Factor,Movement,Conditions,Act,Description,,Armour,Armour|Clothing,Headwear,Footwear,Cloak,Ring,Amulet,Shield,Handwear
Sentient Amulet (Rare),,,Amulet,Rare,Non-Armour,0.1kg,125,,,,FALSE,,,,,,,,,"Shatter, Talk to the Sentient Amulet, Ki Restoration (Lesser)",2,Short Rest,,,,,,,,,,1,Sentient Amulet is a rare Amulet that allows the wearer to cast  Shatter once per Short Rest (with a drawback) and  Ki Restoration (Lesser) once per Long Rest.,,,,,,,,,,
Spell Savant Amulet,,,Amulet,Rare,Non-Armour,0.1kg,125,,,,FALSE,,,,,,,,,,,,Spell Amplification,,,,,,,,,3,Spell Savant Amulet is a rare Amulet that grants an additional Level 2 spell slot.,,,,,,,,,,
Strange Tendril Amulet,,,Amulet,Rare,Non-Armour,0.1kg,190,,,,FALSE,,,,,,,,,Evard's Black Tentacles,4,Long Rest,,,,,,,,,,2,Strange Tendril Amulet is a rare Amulet that allows the wearer to cast  Evard's Black Tentacles once per Long Rest.,,,,,,,,,,
Surgeon's Subjugation Amulet,,,Amulet,Rare,Non-Armour,0.1kg,125,,,,FALSE,,,,,,,,,,,,Paralysing Critical,,,,,,,,,2,"The Surgeon's Subjugation Amulet is a rare Amulet that, once per Long Rest, paralyses a humanoid on a Critical Hit.",,,,,,,,,,
The Amulet of Lost Voices,,,Amulet,Rare,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,Speak with Dead,3,Long Rest,,,,,,,,,,1,The Amulet of Lost Voices is a rare Amulet that allows the wearer to cast  Speak with Dead once per Long Rest.,,,,,,,,,,
Uncovered Mysteries,,,Amulet,Rare,Non-Armour,0.1kg,125,,,,FALSE,,,,,,,,,Detect Thoughts,2,Long Rest,,,,,,,,,,1,Uncovered Mysteries is a rare Amulet that allows the wearer to cast Detect Thoughts once per Long Rest.,,,,,,,,,,
Amulet of Greater Health,,,Amulet,Very Rare,Non-Armour,0.1kg,210,,,,FALSE,,,,,,CON,,ADV,,,,,CON,23,23,,,,,,3,Amulet of Greater Health is a very rare Amulet that can be obtained from the House of Hope.,,,,,,,,,,
Amulet of the Devout,,,Amulet,Very Rare,Non-Armour,0.1kg,65,,,,FALSE,,,,,,,,,,,,"High Spellcasting (+2), Godswill",,,,,,,,,3,"The Amulet of the Devout is a very rare Amulet. It grants the wearer a +2 bonus to Spell Save DC and, if the wearer has access to it, an additional use of  Channel Divinity Charge.",,,,,,,,,,
Amulet of Windrider,,,Amulet,Very Rare,Non-Armour,0.1kg,210,,,,FALSE,,,,,,,,,"Ride the Winds, Gust of Wind","3,2",Long Rest,,,,,,,,,,3,Amulet of Windrider is a very rare Amulet that allows the wearer to cast Ride the Winds and Gust of Wind. It is one of the rewards of the quest Save Vanra.,,,,,,,,,,
Corvid Token,,,Amulet,Very Rare,Non-Armour,0.1kg,230,,,,FALSE,,,,,,,,,Polymorph: Dire Raven,,Long Rest,Boon of the Raven Queen,,,,,,,,Feather Fall,3,"Corvid Token is a very rare Amulet that increases jump distance and flying speed, grants the Polymorph: Dire Raven action, and grants Feather Fall to the wearer, which persists while Polymorphed or Wild Shaped.",,,,,,,,,,
Fey Semblance Amulet,,,Amulet,Very Rare,Non-Armour,0.1kg,210,,,,FALSE,,,,,,,,,,,,Semblance of Fey,,,,,,,,,3,Fey Semblance Amulet is a very rare Amulet that gives the user advantage on all mental saving throws.,,,,,,,,,,
Khalid's Gift,,,Amulet,Very Rare,Non-Armour,0.1kg,140,,,,FALSE,,,,,,,,,Khalid's Gift: Aid,3,Long Rest,Odd Gift,WIS,1,21,,,,,,3,"Khalid's Gift is a very rare Amulet that was gifted to Jaheira by Khalid and stored away in the basement of her home. While wearing it, Jaheira cannot be cursed.",,,,,,,,,,
Sentient Amulet (Very Rare),,,Amulet,Very Rare,Non-Armour,0.1kg,210,,,,FALSE,,,,,,,,,"Shatter, Ki Restoration (Greater)",3,Long Rest,,,,,,,,,,2,Sentient Amulet is a very rare Amulet which allows the wearer to cast  Shatter once per Long Rest and  Ki Restoration (Greater) once per Long Rest. It is a possible reward for the quest Help the Cursed Monk.,,,,,,,,,,
Spellcrux Amulet,,,Amulet,Very Rare,Non-Armour,0.1kg,210,,,,FALSE,,,,,,,,,Spell Slot Restoration,,Long Rest,,,,,,,,,,2,Spellcrux Amulet is a very rare Amulet that allows the wearer to restore any one spell slot once per Long Rest.,,,,,,,,,,
The Spectator Eyes,,,Amulet,Very Rare,Non-Armour,0.1kg,360,,,,FALSE,,,,,,,,,"Ray of Fear, Wounding Ray",3,Long Rest,,,,,,,,,,1,The Spectator Eyes is a very rare Amulet that allows the wearer to cast  Ray of Fear and  Wounding Ray once per Long Rest.,,,,,,,,,,
Tressym Collar,,,Amulet,Very Rare,Non-Armour,0.1kg,360,,,,FALSE,,,,,,,,,Telekinesis,5,Long Rest,,,,,,,,,,3,Tressym Collar is a very rare Amulet which allows the wearer to cast  Telekinesis once per Long Rest.,,,,,,,,,,
Unflinching Protector Amulet,,,Amulet,Very Rare,Non-Armour,0.1kg,210,,,,FALSE,,,,,,,,,,,,Unflinching Protection,,,,,,,,,3,Unflinching Protector Amulet is a very rare Amulet that can be obtained from Ptaris.,,,,,,,,,,
Amulet of Bhaal,,,Amulet,Story Item,Non-Armour,0.1kg,120,,,,FALSE,,,,,,,,,,,,First Blood,,,,,,,,,3,Amulet of Bhaal is a story-related Amulet which allows the wearer to inflict  Bleeding when hitting targets with maximum hit points. It also grants access to the Bhaal Temple.,,,,,,,,,,
Broken Shield,,,Shield,Common,Shields,2.7kg,15,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,"The Broken Shield is a common Shield that is severly damaged, providing less AC than regular shields.",,,,,,,,,,
Fossilised Shell,,,Shield,Common,Shields,2.7kg,15,,,2,FALSE,,,,,,,,,,,,,,,,,,,,,,The Fossilised Shell is a common Shield worn by the primitive Kuo-toa of the Underdark.,,,,,,,,,,
Iron-Banded Shield,,,Shield,Common,Shields,2.7kg,15,,,2,FALSE,,,,,,,,,,,,,,,,,,,,,,The Iron-Banded Shield is a common Shield.,,,,,,,,,,
Metal Shield,,,Shield,Common,Shields,2.7kg,15,,,2,FALSE,,,,,,,,,,,,,,,,,,,,,1,The Metal Shield is a common Shield emblazoned with the symbol of the Flaming Fist mercenaries.,,,,,,,,,,
Organic Shield,,,Shield,Common,Shields,2.7kg,15,,,2,FALSE,,,,,,,,,,,,,,,,,,,,,,An Organic Shield is a common Shield.,,,,,,,,,,
Rusty Studded Shield,,,Shield,Common,Shields,2.7kg,15,,,2,FALSE,,,,,,,,,,,,,,,,,,,,,,The Rusty Studded Shield is a common Shield.,,,,,,,,,,
Scrapwood Shield,,,Shield,Common,Shields,2.7kg,15,,,2,FALSE,,,,,,,,,,,,,,,,,,,,,1,A Scrapwood Shield is a common Shield used by goblins.,,,,,,,,,,
Shield,,,Shield,Common,Shields,2.7kg,15,,,2,FALSE,,,,,,,,,,,,,,,,,,,,,,A Shield is a common piece of defensive equipment wielded in one hand.,,,,,,,,,,
Spiked Shield,,,Shield,Common,Shields,2.7kg,4,,,2,FALSE,,,,,,,,,,,,,,,,,,,,,,A Spiked Shield is a common Shield used by Goblins.,,,,,,,,,,
Studded Shield,,,Shield,Common,Shields,2.7kg,15,,,2,FALSE,,,,,,,,,,,,,,,,,,,,,1,A Studded Shield is a common Shield.,,,,,,,,,,
Training Shield,,,Shield,Common,Shields,0.5kg,3,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,"The Training Shield is a common Shield that is reserved for practice instead of real fighting. Considering it isn't sold anywhere, requires stealing and is inferior to other shields it can be considered little more than junk.",,,,,,,,,,
Wooden Shield,,,Shield,Common,Shields,2.7kg,15,,,2,FALSE,,,,,,,,,,,,,,,,,,,,,,A Wooden Shield is a common Shield.,,,,,,,,,,
Absolute's Warboard,,,Shield,Uncommon,Shields,2.7kg,70,,,2,FALSE,,,,,,,1,,Heroism,1,Long Rest,Absolute's Ward,,,,,,,,,1,Absolute's Warboard is an uncommon Shield that improves a branded wearer's Saving Throws and allows them to cast Heroism once per Long Rest.,,,,,,,,,,
Gloomstrand Shield,,,Shield,Uncommon,Shields,2.7kg,70,,,2,FALSE,,,Stealth,1,,,,,,,,,,,,,,,,,2,Gloomstrand Shield is an uncommon Shield that adds +1 to Stealth,,,,,,,,,,
Glowing Shield,,,Shield,Uncommon,Shields,2.7kg,70,,,2,FALSE,,,,,,,,,,,,Loving Protection,,,,,,,,,1,The Glowing Shield is an uncommon Shield that grants its user Temporary Hit Points once per Short Rest when they take damage while greatly injured.,,,,,,,,,,
Ironvine Shield,,,Shield,Uncommon,Shields,2.7kg,45,,,2,FALSE,,,,,,,,,,,,Ironvine,,,,,,,,,2,Ironvine Shield is an uncommon Shield that damages the attacker if the wielder is using a weapon empowered with Shillelagh.,,,,,,,,,,
Safeguard Shield,,,Shield,Uncommon,Shields,2.7kg,55,,,2,FALSE,,,,,,,1,,,,,,,,,,,,,,1,The Safeguard Shield is an uncommon Shield that grants you Saving Throws +1,,,,,,,,,,
The Real Sparky Sparkswall,,,Shield,Uncommon,Shields,2.7kg,70,,,2,FALSE,,,,,,,,,Lightning Aura,,Long Rest,,,,,,,,,,1,The Real Sparky Sparkswall is an uncommon Shield that allows the wearer to create a Lightning Aura.,,,,,,,,,,
Watcher's Shield,,,Shield,Uncommon,Shields,2.7kg,70,,,2,FALSE,,,Perception,,ADV,,,,,,,,,,,,,,,,2,Watcher's Shield is an uncommon Shield that gives the wielder Advantage on Perception Checks.,,,,,,,,,,
Wood Woad Shield,,,Shield,Uncommon,Shields,2.7kg,115,,,2,FALSE,,,,,,,,,Woad's Ensnaring Strike,1,Short Rest,,,,,,,,,,1,Wood Woad Shield is an uncommon Shield found on Wood Woads and grants its wearer the ability to cast Woad's Ensnaring Strike.,,,,,,,,,,
Absolute's Protector,,,Shield,Rare,Shields,2.7kg,300,,,2,FALSE,,,,,,,,,"Shield Blow, Fire Shield: Chill",4,Long Rest,Absolute's Aegis,,,,,,,,,2,"Absolute's Protector is a rare Shield that reduces damage from spells by 1 if the user bears the mark of the Absolute, grants Shield Bash, and allows the wielder to cast Fire Shield: Chill once per Long Rest.",,,,,,,,,,
Adamantine Shield,,,Shield,Rare,Shields,2.7kg,190,,,2,TRUE,,,,,,,,,Shield Blow,,,Adamantine Shield,,,,,,,,,1,Adamantine Shield is a rare Shield that sends enemies Reeling when they miss you with a melee attack.,,,,,,,,,,
Iron-Banded Shield +1,,,Shield,Rare,Shields,2.7kg,300,,,3,FALSE,,,,,,,,,,,,,,,,,,,,,,Iron-Banded Shield +1 is a rare Shield with an enchantment increasing its Armour Class bonus.,,,,,,,,,,
Justiciar's Greatshield,,,Shield,Rare,Shields,2.7kg,300,,,2,FALSE,,,Perception,,ADV,,,,"Darkness Cloak, Shield Blow",,Short Rest,,,,,,,,,,2,"Justiciar's Greatshield is a rare Shield that allows the wielder to cast Darkness Cloak to hide themselves, and gains advantage on Perception checks.",,,,,,,,,,
Ketheric's Shield,,,Shield,Rare,Shields,2.7kg,300,,,2,FALSE,,,,,,DEX,,ADV,Shield Blow,,,Arcane Enchantment (Ketheric's Shield),,,,,,,,,2,Ketheric's Shield is a rare Shield that grants the action Shield Bash and improves your spellcasting-related rolls. It also gives you Advantage on Dexterity Saving Throws.,,,,,,,,,,
Sentinel Shield,,,Shield,Rare,Shields,2.7kg,580,,,2,FALSE,,,,,,,,,Shield Blow,,,Heightened Awareness,,,,,,,,,2,Sentinel Shield is a rare Shield that provides the user +3 to Initiative rolls and advantage on Perception checks,,,,,,,,,,
Shield +1,,,Shield,Rare,Shields,2.7kg,300,,,3,FALSE,,,,,,,,,,,,,,,,,,,,,,A Shield +1 is a rare Shield with an enchantment increasing its  Armour Class bonus.,,,,,,,,,,
Shield of Scorching Reprisal,,,Shield,Rare,Shields,2.7kg,190,,,2,FALSE,Fire,,,,,,,,"Shield Blow, Blazing Retaliation",,,,,,,,,,,,2,"Shield of Scorching Reprisal is a rare Shield that grants Fire Resistance, allows one to Shield Bash, and also apply Blazing Retaliation.",,,,,,,,,,
Shield of Shielding,,,Shield,Rare,Shields,2.7kg,190,,,2,FALSE,,,,,,,,,"Shield Blow, Shield",1,Long Rest,,,,,,,,,,3,Shield of Shielding is a rare Shield that allows the wearer to cast Shield and use Shield Bash.,,,,,,,,,,
Studded Shield +1,,,Shield,Rare,Shields,2.7kg,300,,,3,FALSE,,,,,,,,,,,,,,,,,,,,,3,A Studded Shield +1 is a rare Shield with an enchantment increasing its  Armour Class bonus.,,,,,,,,,,
Abdel's Trusted Shield,,,Shield,Very Rare,Shields,2.7kg,570,,,2,FALSE,,,,,,,,,"Shield Blow, Protection from Missiles",2,Short Rest,,,,,,,,,,3,"Abdel's Trusted Shield is a very rare Shield that allows the wearer to cast Protection from Missiles once per Short Rest, as well as use Shield Bash.",,,,,,,,,,
Shield of Devotion,,,Shield,Very Rare,Shields,2.7kg,570,,,2,FALSE,,,,,,,,,"Shield Blow, Shield of Devotion: Aid",3,Long Rest,Additional Spell Slot,,,,,,,,,2,"Shield of Devotion is a very rare Shield that grants a Level 1 Spell Slot, Shield Bash and allows the wielder to cast Shield of Devotion: Aid at Level 3 Spell once per Long Rest.",,,,,,,,,,
Shield of the Undevout,,,Shield,Very Rare,Shields,2.7kg,570,,,2,FALSE,,,,,,,,,Shield Blow,,,"Dreadful Hewer, Additional Spell Slot",,,,,,,,,3,Shield of the Undevout is a very rare Shield that applies Disadvantage on Frightened Saving Throws to your foes and grants an additional level 1 spell slot. It also grants Shield Bash.,,,,,,,,,,
Swires' Sledboard,,,Shield,Very Rare,Shields,2.7kg,360,,,2,FALSE,,,,,,,,,Shield Blow,,,Shield Conduit,,,,,,,,,3,Swires' Sledboard is a very rare shield that grants the wearer Force Conduit at the start of combat. It also grants Shield Bash.,,,,,,,,,,
Viconia's Walking Fortress,,,Shield,Story Item,Shields,2.7kg,760,,,3,FALSE,,,,,,,,,"Bulwark Rebuke, Reflective Shell, Warding Bond",,,Spellguard,,,,,,,,,3,Viconia's Walking Fortress is a legendary shield that can deal Force damage to the attacker when hit. Gives Advantage on saving throws against spells and Disadvantage to spell attacks made against the wearer.,,,,,,,,,,
Simple Robe,,,Clothing,Common,Non-Armour,1.8kg,11,,DEX,,FALSE,,,,,,,,,,,,,,,,,,,,,,A Robe is a common piece of Clothing.,,,,,,,,,,
Barbarian Clothes,,,Clothing,Common,Non-Armour,1.8kg,11,,DEX,,FALSE,,,,,,,,,,,,,,,,,,,,,,Barbarian Clothes are a common piece of Clothing.,,,,,,,,,,
Armour of Uninhibited Kushigo,,,Clothing,Uncommon,Non-Armour,1.8kg,250,,DEX,,FALSE,,,,,,,,,Kushigo Counter,,,,,,,,,,,,1,"The Armour of Uninhibited Kushigo is an uncommon piece of Clothing that allows the wearer to counter attack an enemy that misses them, so long as Patient Defence is active.",,,,,,,,,,
Bided Time,,,Clothing,Uncommon,Non-Armour,1.8kg,250,,DEX,,FALSE,,,,,,,,,,,,Time Thoroughly Bided,,,,,,,,,2,Bided Time is a set of uncommon Clothing that causes the wearer to gain Arcane Charge whenever they are hit by a melee attack.,,,,,,,,,,
Bloodguzzler Garb,,,Clothing,Uncommon,Non-Armour,1.8kg,250,,DEX,,FALSE,,,,,,,,,,,,Grievous Retribution,,,,,,,,,1,The Bloodguzzler Garb is an uncommon piece of Clothing that grants its wearer Wrath when an enemy damages the wearer.,,,,,,,,,,
Cloth Armour,,,Clothing,Uncommon,Non-Armour,1.8kg,250,,DEX,,FALSE,,,,,,,,,,,,Grievous Retribution,,,,,,,,,3,Cloth Armour is an uncommon piece of Clothing that grants Wrath when an enemy damages the wearer.,,,,,,,,,,
Poisoner's Robe,,,Clothing,Uncommon,Non-Armour,1.8kg,250,,DEX,,FALSE,,,,,,,,,,,,Poison Trails,,,,,,,,,1,The Poisoner's Robe is an uncommon piece of Clothing that makes the wearer's poison spells deal more damage.,,,,,,,,,,
Robe,,,Clothing,Uncommon,Non-Armour,1.8kg,11,,DEX,,FALSE,,,,,,,,,,,,,,,,,,,,,,A Robe is a common piece of Clothing.,,,,,,,,,,
Robe of Summer,,,Clothing,Uncommon,Non-Armour,1.8kg,250,,DEX,,FALSE,Cold,,,,,,,,,,,,,,,,,,,,1,The Robe of Summer is an uncommon piece of Clothing that grants the wearer Resistance to Cold damage.,,,,,,,,,,
Cloth of Authority,,,Clothing,Rare,Non-Armour,1.8kg,800,,DEX,1,FALSE,,,,,,,,,,,,"Dauntless, Authority",,,,,,,,,3,Cloth of Authority is a rare piece of Clothing that grants immunity to emotion-altering conditions and grants +1 Armour Class and Advantage on Intimidation and Insight checks.,,,,,,,,,,
Drunken Cloth,,,Clothing,Rare,Non-Armour,1.8kg,800,,DEX,,FALSE,,,,,,,,,,,,Snowy Liver,,,,,,,,,3,Drunken Cloth is a rare piece of Clothing that grants the wearer Advantage on Constitution Saving Throws while Drunk. They also gain temporary hit points at the start of each turn.,,,,,,,,,,
Enraging Heart Garb,,,Clothing,Rare,Non-Armour,1.8kg,800,,DEX,,FALSE,,,,,,,,,,,,Ruintamer Heart,CON,2,20,,,,,,2,The Enraging Heart Garb is a rare piece of Clothing that grants Wrath while the wearer is Raging. It also increases Constitution by 2.,,,,,,,,,,
Garb of the Land and Sky,,,Clothing,Rare,Non-Armour,1.8kg,800,,DEX,1,FALSE,,,,,,,,,,,,"Mountainous Poise, Breezeswift Speed",,,,,,,,,3,"Garb of the Land and Sky is rare Clothing that grants the wearer Blade Ward when using Patient Defence. When using Step of the Wind, the wearer's next Attack Roll has Advantage and deals an additional 1d8 Force damage.",,,,,,,,,,
Icebite Robe,,,Clothing,Rare,Non-Armour,1.8kg,800,,DEX,,FALSE,Cold,,,,,,,,Armour of Agathys,3,Long Rest,,,,,,,,,,2,Icebite Robe is a rare piece of Clothing. It grants the wearer Resistance to Cold damage and allows them to cast Armour of Agathys as a 3rd level spell once per Long Rest.,,,,,,,,,,
Mutilated Carapace,,,Clothing,Rare,Non-Armour,1.8kg,800,,DEX,1,FALSE,,,,,,,,,,,,"Formless Slaughter, Faceless Masquerade",,,,,,,,,3,"Mutilated Carapace is a rare piece of Clothing that grants its wearer a bonus to Attack Rolls and damage rolls while being disguised, as well as Advantage on Deception and Persuasion Ability Checks.",,,,,,,,,,
Obsidian Laced Robe,,,Clothing,Rare,Non-Armour,1.8kg,800,,DEX,,FALSE,Fire,,,,,,,,,,,Flaming Revenge,,,,,,,,,2,"Obsidian Laced Robe is rare piece of Clothing that deals Fire damage to enemies on a successful Saving Throw against their spells, and grants its wearer resistance to Fire damage.",,,,,,,,,,
Robe of Exquisite Focus,,,Clothing,Rare,Non-Armour,1.8kg,800,,DEX,,FALSE,,,,,,,,,,,,High Spellcasting (+1),,,,,,,,,2,The Robe of Exquisite Focus is a rare piece of Clothing that increases its wearer's Spell Save DC.,,,,,,,,,,
Shelter of Athkatla,,,Clothing,Rare,Non-Armour,1.8kg,1000,,DEX,,FALSE,,,,,,,,,Mirror Image,2,Long Rest,Spell Resistance,,,,,,,,,3,"Shelter of Athkatla is a rare Clothing that grants the wearer Advantage against spell Saving Throws, and grants the ability to cast Mirror Image",,,,,,,,,,
The Graceful Cloth,,,Clothing,Rare,Non-Armour,1.8kg,800,,DEX,,FALSE,,,,,,,,,,,,"Cat's Grace, Nimble As a Cat",,,,,,,,Cat's Grace,2,The Graceful Cloth is a rare piece of Clothing which gives its wearer +2 Dexterity and the Cat's Grace condition. It also boosts their Dexterity Saving Throws and jump distance.,,,,,,,,,,
The Mighty Cloth,,,Clothing,Rare,Non-Armour,1.8kg,800,,DEX,,FALSE,,,,,,,,,Bull Rush,,Per Turn,"Bull's Strength, Unwavering Bull",,,,,,,,,2,The Mighty Cloth is a rare piece of Clothing that gives its wearer +2 Strength (up to 20) and the Bull's Strength condition. Also grants the wearer the Bull Rush class action.,,,,,,,,,,
The Protecty Sparkswall,,,Clothing,Rare,Non-Armour,1.8kg,260,,DEX,,FALSE,,,,,,,,,,,,"High Spellcasting (+1), Sparkswall Armour",,,,,,,,,1,The Protecty Sparkswall is a rare Clothing that increases the wearer's defences while they have Lightning Charges and grants a +1 bonus to their Spell Save DC.,,,,,,,,,,
Viconia's Priestess Robe,,,Clothing,Rare,Non-Armour,1.8kg,1600,,DEX,1,FALSE,,,,,,,,,,,,"Shar's Umbrae, Sharran Veil",,,,,,,,,3,"Viconia's Priestess Robe is a rare Clothing that grants the wearer Advantage on Stealth checks while Obscured, and enhances Shield of Faith to give a +2 to all Saving Throws as well.",,,,,,,,,,
Bonespike Garb,,,Clothing,Very Rare,Non-Armour,1.8kg,1600,,DEX,,FALSE,,,,,,,,,,,,"Slabjaw Determination, Exoskeletal Endurance",,,,,,,,,3,"Bonespike Garb is a very rare Clothing that grants temporary hit points when using Rage, and reduces incoming damage by 2. Attackers receive Piercing damage when the wearer is struck.",,,,,,,,,,
Infernal Robe,,,Clothing,Very Rare,Non-Armour,1.8kg,1600,,DEX,1,FALSE,Fire,,,,,,,,Fire Shield: Warm,4,Long Rest,,,,,,,,,,1,"Infernal Robe is a very rare piece of Clothing that makes its wearer resistant to Fire damage and grants the Fire Shield (Warm) at level 4, once per Long Rest.",,,,,,,,,,
Moon Devotion Robe,,,Clothing,Very Rare,Non-Armour,1.8kg,1600,,DEX,,FALSE,,,,,,,1,,"Lunar Bulwark, Produce Flame",1,Long Rest,Selûne's Protection,,,,,,,,,2,Moon Devotion Robe is a very rare Clothing that grants Advantage on Constitution Saving Throws and grants the ability to cast Produce Flame and Lunar Bulwark.,,,,,,,,,,
Potent Robe,,,Clothing,Very Rare,Non-Armour,1.8kg,1600,,DEX,1,FALSE,,,,,,,,,,,,"Gregarious Caster, Well-Liked and Well-Fortified",,,,,,,,,2,The Potent Robe is a very rare piece of Clothing that uses the wearer's Charisma modifier to increase their cantrips' damage as well as give them temporary hit points.,,,,,,,,,,
Robe of Supreme Defences,,,Clothing,Very Rare,Non-Armour,1.8kg,1600,,DEX,,FALSE,,,,,,,,,,,,Exquisite Focus,,,,,,,,,3,"The Robe of Supreme Defences is a very rare Clothing that adds your Spellcasting Modifier to your Saving Throws, when you are concentrating on a spell.",,,,,,,,,,
Robe of the Weave,,,Clothing,Very Rare,Non-Armour,1.8kg,2900,,DEX,2,FALSE,,,,,,,,,,,,"Weave Eater, Arcane Enchantment (Robe of the Weave)",,,,,,,,,3,"Robe of the Weave is a very rare Clothing. It allows the wearer to heal when succeeding a saving throw against a spell, and boosts Spell Save DC and Spell Attack by 1 each.",,,,,,,,,,
Veil of the Morning,,,Clothing,Very Rare,Non-Armour,1.8kg,1600,,DEX,,FALSE,,,,,,,,,Turn Undead,,Long Rest,Let The Undead Blanch With Fear,,,,,,,,,3,"Veil of the Morning is a very rare Clothing that imposes Disadvantage on Undead Attack Rolls against the wearer, grants the wearer Advantage against Undead spells and actions, and allows the wearer to Turn Undead.",,,,,,,,,,
Vest of Soul Rejuvenation,,,Clothing,Very Rare,Non-Armour,1.8kg,4160,,DEX,2,FALSE,,,,,,,,,,,,"Defier's Rejuvenation, Greater Kushigo Counter",,,,,,,,,3,"Vest of Soul Rejuvenation is a very rare Clothing that allows the wearer to heal on a successful saving throw against a spell, and can make an Unarmed Attack against any attacker that misses, using a Reaction.",,,,,,,,,,
Wavemother's Robe,,,Clothing,Very Rare,Non-Armour,1.8kg,610,,DEX,1,FALSE,,,,,,,,,Create or Destroy Water,4,Short Rest,"Temperature Adjustment, Watery Rejuvenation",,,,,,,,,3,Wavemother's Robe is a very rare Clothing which grants the wearer Resistance to Fire and Cold damage. The wearer also heals while standing in water and can cast Create or Destroy Water.,,,,,,,,,,
Cape of the Red Prince,,,Cloak,Common,Non-Armour,0.5kg,1,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Cape of the Red Prince is a common Cloak.,,,,,,,,,,
Cloak,,,Cloak,Uncommon,Non-Armour,0.5kg,20,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Cloak is a common Cloak that provides no bonuses to the wearer.,,,,,,,,,,
Cindermoth Cloak,,,Cloak,Uncommon,Non-Armour,0.5kg,70,,,,FALSE,,,,,,,,,,,,Flaming Shroud,,,,,,,,,3,Cindermoth Cloak is an uncommon Cloak that inflicts Burning on any foe within 2m / 7ft which damages the wearer.,,,,,,,,,,
Cloak of Cunning Brume,,,Cloak,Uncommon,Non-Armour,0.5kg,70,,,,FALSE,,,,,,,,,,,,Cunning Brume,,,,,,,,,2,Cloak of Cunning Brume is an uncommon Cloak which grants the user a  smokescreen cloud effect when trying to  Disengage.,,,,,,,,,,
Cloak of Elemental Absorption,,,Cloak,Uncommon,Non-Armour,0.5kg,115,,,,FALSE,,,,,,,,,Absorb Elements,,,,,,,,,,,,2,"Cloak of Elemental Absorption is an uncommon Cloak that allows the wearer to absorb a small amount of magical damage, and add it to their next attack.",,,,,,,,,,
Cloak of Protection,,,Cloak,Uncommon,Non-Armour,0.5kg,200,,,1,FALSE,,,,,,,1,,,,,,,,,,,,,,2,Cloak of Protection is an uncommon Cloak which grants the user +1  Armour Class and +1 to  Saving throws,,,,,,,,,,
Fleshmelter Cloak,,,Cloak,Uncommon,Non-Armour,0.5kg,70,,,,FALSE,,,,,,,,,,,,Caustic Reprisal,,,,,,,,,2,Fleshmelter Cloak is an uncommon Cloak. It deals acid damage to creatures that deal melee damage to the wearer.,,,,,,,,,,
Reverse Rain Cloak,,,Cloak,Uncommon,Non-Armour,0.5kg,1,,,,FALSE,,,,,,,,,,,,,,,,,,,,Wet,3,"Reverse Rain Cloak is an uncommon Cloak that grants the user the condition  Wet while worn, increasing resistance to ⁠Fire, but granting vulnerability to ⁠Lightning and ⁠Cold damage.",,,,,,,,,,
Thunderskin Cloak,,,Cloak,Uncommon,Non-Armour,0.5kg,75,,,,FALSE,,,,,,,,,,,,Dazing Echo,,,,,,,,,2,Thunderskin Cloak is an uncommon Cloak which has a chance to  Daze creatures that are  Reverberating when they damage the wearer.,,,,,,,,,,
Vivacious Cloak,,,Cloak,Uncommon,Non-Armour,0.5kg,70,,,,FALSE,,,,,,,,,,,,Arcane Vivaciousness,,,,,,,,,2,Vivacious Cloak is an uncommon Cloak that grants the wearer 8 temporary Hit Points when casting a spell in melee.,,,,,,,,,,
Cloak of Displacement,,,Cloak,Rare,Non-Armour,0.5kg,190,,,,FALSE,,,,,,,,,,,,Displacement,,,,,,,,,3,"Cloak of Displacement is a rare Cloak that, every turn, subjects enemy attacks against its wearer to Disadvantage until the wearer takes damage.",,,,,,,,,,
Derivation Cloak,,,Cloak,Rare,Non-Armour,0.5kg,190,,,,FALSE,,,,,,,,,,,,Deadly Derivation,,,,,,,,,2,Derivation Cloak is a rare Cloak which heals the wearer for 1d4 Hit Points when they Poison a foe.,,,,,,,,,,
The Deathstalker Mantle,,,Cloak,Rare,Non-Armour,0.5kg,190,,,,FALSE,,,,,,,,,,,,The Shadow Itself,,,,,,,,,,The Deathstalker Mantle is a rare Cloak that turns the wearer Invisible for 2 turns after killing an enemy.,,,,,,,,,,
Wavemother's Cloak,,,Cloak,Rare,Non-Armour,0.5kg,190,,,,FALSE,,,,,,,,,,,,Damp Aegis,,,,,,,,,3,Wavemother's Cloak is a rare Cloak that grants its wearer Water Layer Protection every turn.,,,,,,,,,,
