Creature,,,Type,Race,Class,Subclass,Identity,Size,Movement,Darkvision,Weight,XP,Actions/Spells,Weapons,Grenades,Boss,Imunities,,Vulnerabilities,Family,Faction,Title
Harper Skywin,,,Humanoid,Elf,Ranger,,Female,Medium,10.5m,,75.0kg,90,"Cure Wounds,Hamstring Shot,Main Hand Attack,Piercing Strike,Ranged Attack","Shortbow,Dagger",,FALSE,,,,,Harpers,
Slarmy,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Slatey Marven,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Captain Sleam,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Sledge Pettifeet,,,Humanoid,Halfling,Ranger,,Female,Small,7.5m,,35.0kg,250,"Ensnaring Strike (Ranged),Main Hand Attack,Ranged Attack,Sneak Attack (Ranged)","Longbow,Dagger",,FALSE,,,,,The Guild,
Tracker Slice,,,Humanoid,Goblin,,,Female,Small,9.0m,12.0m,35.0kg,20,"Hamstring Shot,Nimble Escape,Ranged Attack",Goblin Bow,,FALSE,,,,,Cult of the Absolute,
Slick Inatra,,,Humanoid,Half-elf,Ranger,,Female,Medium,9.0m,12.0m,75.0kg,320,"Cunning Action: Dash,Ensnaring Strike (Ranged),Ranged Attack,Sneak Attack (Ranged),Wolf Companion",Longbow +1,,FALSE,,,,,Zhentarim,
Slog,,,Humanoid,Half-orc,,,Male,Medium,12.0m,18.0m,100.0kg,250,,,,FALSE,,,,,,
Sloncha Owena,,,Humanoid,Elf,,,Female,Medium,1.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Slorsha Grommer,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Seawind Slow-Boat Drubella,,,Humanoid,Human,,,Female,Medium,11.0m,,75.0kg,250,"Brace (Ranged),Entangle,Ice Knife,Main Hand Attack,Piercing Strike,Piercing Shot,Ranged Attack,Ray of Frost","Heavy Crossbow +1,Dagger",,FALSE,,,,,Church of Umberlee,
Slow-Butt,,,Humanoid,Human,,,,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Slozy Arminifer,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Sharp-Eye Sluck,,,Humanoid,Goblin,Ranger,,Female,Small,9.0m,12.0m,35.0kg,20,"Ensnaring Strike (Ranged),Nimble Escape,Ranged Attack,Worg Companion",Goblin Bow,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Slumgullion,,,Humanoid,Halfling,,,Male,Small,7.5m,,75.0kg,1,,,,FALSE,,,,,,
Cashguard Artillerist Smathers,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Ranged Attack","Rapier,Heavy Crossbow",,FALSE,,,,,,
Smiley Gheef,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Smilin' Ginna,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,320,Main Hand Attack,Shortsword,,FALSE,,,,,,Zhentarim
Fist Smithwynn,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Rush Attack,Trip Attack (Melee)",Spear,,FALSE,,,,,Flaming Fist,
Smouldering Eternal Debtor,,,Humanoid,Tiefling,,,Female,Medium,9.0m,12.0m,75.0kg,1,Forever Indebted,,,FALSE,,,,,House of Hope,
Smythin,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Snapbone,,,Humanoid,Human,Rogue,,,Medium,9.0m,,75.0kg,320,Main Hand Attack,Scimitar,,FALSE,,,,,The Guild,Guild Bursar Guard
Sharp-Eye Sneem,,,Humanoid,Goblin,Ranger,,Male,Small,9.0m,12.0m,35.0kg,15,"Ensnaring Strike (Ranged),Hamstring Shot,Nimble Escape,Ranged Attack,Worg Companion",Goblin Bow,,FALSE,,,,,Cult of the Absolute,
Sneezer Phibbs,,,Humanoid,Human,,,Male,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Reaper of Bhaal Snirr,,,Humanoid,Human,,,Male,Medium,9.0m,30.0m,75.0kg,400,"Flourish,Lacerate,Main Hand Attack,Piercing Strike,Shroud Self",Murderous Cut,,FALSE,,,,,Cult of Bhaal,
Sharp-Eye Snurd,,,Humanoid,Goblin,Ranger,,Male,Small,9.0m,12.0m,35.0kg,20,"Ensnaring Strike (Ranged),Nimble Escape,Ranged Attack,Worg Companion",Goblin Bow,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Gauntlet Soapstone,,,Humanoid,Human,Fighter,,Female,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Piercing Strike,Rush Attack,Trip Attack (Melee)","Spear,Javelin",,FALSE,,,,,Flaming Fist,
Solras,,,Humanoid,Dwarf,,,Female,Medium,1.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Somi,,,Humanoid,Half-orc,Barbarian,,,Medium,9.0m,18.0m,100.0kg,250,"Main Hand Attack,Reckless Attack",Greataxe +1,,FALSE,,,,Tairn (brother),,
Zealot Soreni,,,Humanoid,Drow,Paladin,,Female,Medium,9.0m,16.0m,75.0kg,140,"Branding Smite,Cleave,Hamstring Shot,Lacerate,Lay on Hands: Greater Healing,Lay on Hands: Lesser Healing,Main Hand Attack,Ranged Attack,Rush Attack,Throw,Thunderous Smite,Abjure Enemy","Shortbow,Halberd",Void Bulb,FALSE,,,,,Cult of the Absolute,
Sorn Orlith,,,Humanoid,Drow,Wizard,,Male,Medium,6.0m,16.0m,75.0kg,1,"Bone Chill,Darkness,Knock,Garrotte",,,FALSE,,,,Nym Orlith (twin sister),,
Spargo Ovilliers,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Sparks Musgravel,,,Humanoid,Human,Wizard,,Male,Medium,9.0m,,70.0kg,250,"Faerie Fire,Invisibility,Magic Missile,Main Hand Attack,Topple",Quarterstaff,,FALSE,,,,,The Guild,
Spatula Farggo,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Death's Head of Bhaal Spaulder,,,Humanoid,Human,,,Male,Medium,9.0m,30.0m,75.0kg,250,"Flourish,Lacerate,Main Hand Attack,Piercing Strike,Stunning Gaze",Murderous Cut,,FALSE,,,,,Cult of Bhaal,
Torturer Spike,,,Humanoid,Goblin,Fighter,,Male,Small,9.0m,12.0m,35.0kg,20,"Concussive Smash,Main Hand Attack,Menacing Attack (Melee),Throw,Throw",Club,"Alchemist's Fire, Acid Vial",FALSE,,,,,Cult of the Absolute,
Splatters Doolug,,,Humanoid,Half-orc,,,Male,Medium,9.0m,18.0m,100.0kg,1,,,,FALSE,,,,,,
Spool,,,Humanoid,Human,,,Male,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Dead Drow Raider,,,Humanoid,Drow,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,Cult of the Absolute,
Iron Consul Stalwart,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,320,"Main Hand Attack,Mobile Shot,Piercing Shot,Rush Attack,Voice of Command, Ranged Attack","Hand Crossbow,Spear +1",,FALSE,,,,,Cult of Bane,
Seawind Star Stolitti,,,Humanoid,Human,,,Female,Medium,11.0m,,75.0kg,250,"Concussive Smash,Entangle,Ice Knife,Main Hand Attack,Ray of Frost",Mace,,FALSE,,,,,Church of Umberlee,
Fist Starrlet,,,Humanoid,Human,Fighter,,,Medium,9.0m,,75.0kg,250,"Cleave,Lacerate,Main Hand Attack,Rush Attack,Trip Attack (Melee)",Halberd,,FALSE,,,,,Flaming Fist,
Steffy,,,Humanoid,Human,,,Female,Small,1.0m,,25.0kg,1,,,,FALSE,,,,,,
Party Guest,,,Humanoid,Half-elf,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Sticky Dondo,,,Humanoid,Human,,,Male,Medium,9.0m,,25.0kg,1,,,,FALSE,,,,,The Guild,Fetcher's Brats
Black Gauntlet Stijin,,,Humanoid,Human,Cleric,,Female,Medium,9.0m,,75.0kg,400,"Aura of Terror,Command: Grovel,Command: Halt,Concussive Smash,Guiding Bolt,Main Hand Attack",Mace +2,,FALSE,,,,,Cult of Bane,
Stimk,,,Humanoid,Bugbear,,,Male,Medium,9.0m,12.0m,110.0kg,20,"Concussive Smash,Heartstopper,Main Hand Attack,Piercing Strike,Tenacity,Throw","Javelin,Morningstar",,FALSE,,,,,Cult of the Absolute,
Stinker,,,Humanoid,Human,,,,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Cashier Stivvo,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,The Counting House,
Ghustil Stornugoss,,,Humanoid,Githyanki,,,Female,Medium,9.0m,,75.0kg,75,"Astral Step,Counterspell,Flourish,Healing Word,Lesser Restoration,Main Hand Attack,Misty Step,Piercing Strike,Ray of Frost,Ray of Sickness",Githyanki Shortsword,,FALSE,,,,,,Principal Healer of Crèche Y'llek
Stropes,,,Humanoid,Hobgoblin,Wizard,,Male,Medium,9.0m,16.0m,75.0kg,400,"Fire Bolt,Chromatic Orb: Fire,Main Hand Attack,Topple",Quarterstaff,,FALSE,,,,,Cult of Bhaal,
Stug Minedale,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,Gherva Minedale (sister),The Guild,
Thunderstorm Sue,,,Humanoid,Human,Wizard,,Female,Medium,9.0m,,75.0kg,250,"Chain Lightning,Shatter,Shocking Grasp",,,FALSE,,,,,,
Warrior Sul,,,Humanoid,Goblin,Fighter,,Male,Small,9.0m,12.0m,35.0kg,15,"Cleave,Lacerate,Main Hand Attack,Perform (Drum),Prepare,Throw Stone",Greataxe,,FALSE,,,,,Cult of the Absolute,
Pilgrim Sul,,,Humanoid,Human,Cleric,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,Cult of the Absolute,
Sula Ghevora,,,Humanoid,Elf,,,Female,Medium,9.0m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Harper Sulian,,,Humanoid,Gnome,Druid,,Female,Small,7.5m,12.0m,35.0kg,400,"Conjure Woodland Being,Faerie Fire,Lesser Restoration,Main Hand Attack,Mass Healing Word,Thorn Whip",Quarterstaff,,FALSE,,,,,Harpers,
Questioner Sumera,,,Humanoid,Gnome,Wizard,,Female,Small,7.5m,12.0m,35.0kg,140,"Blindness,Cloud of Daggers,Confusion,Eldritch Blast",,,FALSE,,,,Jasin (sister),Cult of the Absolute,
Surixana,,,Humanoid,Dragonborn,,,Female,Medium,9.0m,,100.0kg,1,,,,FALSE,,,,,,
Susdera,,,Humanoid,Human,Wizard,Evocation School,Female,Medium,9.0m,,75.0kg,140,"Bone Chill,Fireball,Incubate Death,Main Hand Attack",Myrkulite Scourge,,FALSE,,,,,Cult of Myrkul,Mistress of Souls
Svend,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Sylbert,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Syllabub Fran,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Fist Healer Syllving,,,Humanoid,Dwarf,Cleric,,Female,Medium,7.5m,12.0m,75.0kg,250,"Aid,Backbreaker,Calm Emotions,Command: Grovel,Concussive Smash,Crusader's Mantle,Main Hand Attack,Mass Cure Wounds,Sacred Flame,Weakening Strike",Warhammer,,FALSE,,,,,Flaming Fist,
Sylvie Summerworth,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,,,,,FALSE,,,,,,
Syril Valdemar,,,Humanoid,Elf,,,Male,Medium,1.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Syrin,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,400,Sneak Attack (Melee),,,FALSE,,,,,,
Dead Elf,,,Humanoid,Elf,,,Male,Medium,9.0m,12.0m,3.0kg,3,,,,FALSE,,,,Galan (son)Unnamed child,,
Tahan,,,Humanoid,Gnome,Druid,Circle of the Land,Female,Small,7.5m,12.0m,35.0kg,20,"Heat Metal,Main Hand Attack,Mirror Image,Produce Flame,Thunderwave,Wild Shape: Wolf",Quarterstaff,,FALSE,,,,,Circle of the Emerald Grove,
Pilgrim Taima,,,Humanoid,Human,Cleric,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,Cult of the Absolute,
Tairn,,,Humanoid,Half-orc,Barbarian,,,Medium,9.0m,18.0m,100.0kg,250,"Main Hand Attack,Reckless Attack",Greataxe +1,,FALSE,,,,Somi (brother),,
Tracker Tak,,,Humanoid,Goblin,,,Female,Small,9.0m,12.0m,35.0kg,10,"Hamstring Shot,Nimble Escape,Perform (Flute),Ranged Attack",Goblin Bow,,FALSE,,,,,Cult of the Absolute,
Quartermaster Talli,,,Humanoid,Human,Fighter,,Female,Medium,9.0m,,75.0kg,90,"Concussive Smash,Main Hand Attack",Light Hammer,,FALSE,,,,,Harpers,
Talli Armbrust,,,Humanoid,Human,,,Female,Medium,1.0m,,75.0kg,1,,,,FALSE,,,,Tym (husband)Ayo (son),,
Tam,,,Humanoid,Human,,,Male,Small,9.0m,,25.0kg,1,,,,FALSE,,,,,,
Taman,,,Humanoid,Half-elf,Fighter,,Male,Medium,9.0m,12.0m,75.0kg,15,"Lacerate,Main Hand Attack,Pommel Strike,Rush Attack,Second Wind",Longsword,,FALSE,,,,,Overgrown Ruin Looters,
Clerk Tamara,,,Humanoid,Drow,Wizard,,Female,Medium,9.0m,,75.0kg,250,"Cone of Cold,Fire Bolt,Ice Storm,Magic Missile,Main Hand Attack,Misty Step,Piercing Strike",Dagger,,FALSE,,,,,Cult of Bane,
Black Gauntlet Tamia Holzt,,,Humanoid,Human,Cleric,,Female,Medium,9.0m,,75.0kg,400,"Aura of Terror,Blight,Concussive Smash,Dominate Person,Inflict Wounds,Initiate Collar Detonation,Main Hand Attack,Phantasmal Killer,Planar Ally: Deva,Spirit Guardians (Necrotic)",Infernal Mace,,FALSE,,,,,Cult of Bane,
Fist Taraji,,,Humanoid,Human,Fighter,,Female,Medium,9.0m,,75.0kg,200,"Cleave,Lacerate,Main Hand Attack,Piercing Strike,Rush Attack,Sweeping Attack","Javelin,Halberd",,FALSE,,,,,Flaming Fist,
Tarhun Mnemonis,,,Humanoid,Dragonborn,,,Male,Medium,9.0m,,100.0kg,1,,,,FALSE,,,,,,
Dead Half-Elf,,,Humanoid,Half-elf,,,Male,Medium,9.0m,12.0m,75.0kg,75,,,,FALSE,,,,,,
Cashguard Taslim,,,Humanoid,Human,Paladin,,Female,Medium,9.0m,,75.0kg,250,"Blinding Smite,Divine Smite,Lay on Hands: Greater Healing,Main Hand Attack,Ranged Attack","Hand Crossbow,Maul",,FALSE,,,,,,
Chef's Assistant Tecochi,,,Humanoid,Human,,,,Medium,1.0m,,75.0kg,1,,,,FALSE,,,,,,
Tecothy,,,Humanoid,Drow,Ranger,,Male,Medium,9.0m,16.0m,75.0kg,40,"Main Hand Attack,Piercing Shot,Piercing Strike,Ranged Attack","Light Crossbow,Dagger",,FALSE,,,,,,
Harper Teebs,,,Humanoid,Dwarf,Fighter,,Male,Medium,7.5m,12.0m,75.0kg,90,"Main Hand Attack,Rush Attack,Throw",Spear,Smokepowder Bomb,FALSE,,,,,Harpers,
Teghun,,,Humanoid,Bugbear,,,Male,Medium,9.0m,12.0m,110.0kg,20,"Concussive Smash,Heartstopper,Main Hand Attack,Piercing Strike,Tenacity,Throw","Javelin,Morningstar",,FALSE,,,,,Cult of the Absolute,
Harper Terradissia,,,Humanoid,Half-elf,Wizard,,Female,Medium,9.0m,12.0m,75.0kg,90,"Acid Splash,Magic Missile,Poison Spray",,,FALSE,,,,,Harpers,
Terse Torvalt,,,Humanoid,Halfling,Rogue,,Male,Small,7.5m,,35.0kg,250,"Ranged Attack,Main Hand Attack,Sneak Attack (Ranged),Cunning Action: Disengage","Longbow,Dagger",,FALSE,,,,,The Guild,
Dead Githyanki Warrior,,,Humanoid,Githyanki,,,Female,Medium,9.0m,,75.0kg,5,,,,FALSE,,,,,Githyanki (Faction),
Fist Thadwick,,,Humanoid,Dwarf,Fighter,,Male,Medium,7.5m,12.0m,75.0kg,90,"Backbreaker,Concussive Smash,Main Hand Attack,Throw,Weakening Strike",Warhammer,Smokepowder Bomb,FALSE,,,,,Flaming Fist,
Thalita Cross,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Heder Cross (son),,
Cashguard Artillerist Thamberg,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Ranged Attack","Rapier,Heavy Crossbow",,FALSE,,,,,,
Thaniel,,,Humanoid,Tiefling,,,Male,Medium,9.0m,12.0m,25.0kg,1,,,,FALSE,,,,Oliver,,
Thatmatt Oakhide,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,Bruha Oakhide (wife),,
Fist Rusk,,,Humanoid,Human,Fighter,,Male,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Sweeping Attack",Halberd,,FALSE,,,,,Flaming Fist,
The Professor,,,Humanoid,Elf,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
The Warden,,,Humanoid,Tiefling,Ranger,,Female,Medium,9.0m,12.0m,75.0kg,200,"Brace (Ranged),Ensnaring Strike (Melee),Ensnaring Strike (Ranged),Hail of Thorns,Hellish Rebuke,Lacerate,Lightning Arrow,Piercing Shot,Pommel Strike,Rush Attack, Ranged Attack","Heavy Crossbow +1,Longsword",,FALSE,,,,,Cult of the Absolute,
Theda Grosz,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Cashguard Artillerist Theoda,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Ranged Attack","Rapier,Heavy Crossbow",,FALSE,,,,,,
Theologist Eternal Debtor,,,Humanoid,Human,,,Male,Medium,9.0m,12.0m,75.0kg,1,Forever Indebted,,,FALSE,,,,,House of Hope,
Kith'rak Therezzyn,,,Humanoid,Githyanki,Fighter,Eldritch Knight,Female,Medium,9.0m,,75.0kg,90,"Astral Step,Blur,Burning Hands,Cleave,Fear,Lacerate,Main Hand Attack,Pommel Strike,Ray of Frost,Shocking Grasp",Soulbreaker Greatsword,,FALSE,,,,,Crèche Y'llek,Commander of Crèche Y'llek
Thimble,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Thindo Vintervur,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,1,Dash,,,FALSE,,,,,Church of Gond,
Thodric Shedeveer,,,Humanoid,Asmodeus Tiefling,,,,Medium,1.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,Fishmonger
Thokki,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Thomas C. Quirkilious,,,Humanoid,Dragonborn,,,Male,Medium,1.0m,,100.0kg,1,,,,FALSE,,,,Cate (daughter),,Maker of Musical Instruments
Waiter Thorne,,,Humanoid,Human,,,Female,Medium,1.0m,,75.0kg,1,,,,FALSE,,,,,,
Thrastle Muria,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Three,,,Humanoid,Goblin,,,Female,Small,7.5m,12.0m,10.0kg,1,"Nimble Escape,Throw",,,FALSE,,,,,Cult of the Absolute,
Three-Piece,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,320,Main Hand Attack,Scimitar,,FALSE,,,,,The Guild,Guild Member
Thudd,,,Humanoid,Dwarf,Barbarian,,Male,Medium,7.5m,24.0m,75.0kg,75,"Concussive Smash,Enlarge,Main Hand Attack,Rage,Reckless Attack,Tenacity,Throw","Greatclub,Javelin",,FALSE,,,,,Clan Flameshade,
Thuldra Thuldrin,,,Humanoid,Dwarf,,,Female,Medium,,12.0m,75.0kg,1,,,,FALSE,,,,,,
Thulla,,,Humanoid,Gnome,,,Female,Small,7.5m,24.0m,35.0kg,40,"Main Hand Attack,Piercing Strike",Dagger,,FALSE,,,,,Clan Ironhand,
Gauntlet Thunder,,,Humanoid,Dwarf,Cleric,,Female,Medium,7.5m,12.0m,75.0kg,250,"Aid,Backbreaker,Calm Emotions,Concussive Smash,Crusader's Mantle,Command: Grovel,Main Hand Attack,Mass Cure Wounds,Sacred Flame,Weakening Strike",Warhammer,,FALSE,,,,,Flaming Fist,Fist Drillmaster
Thyssa Shineboot,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Tiernan Wont,,,Humanoid,Half-elf,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Tilly,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,"Unarmed Strike,Dash",,,FALSE,,,,,,
Tilses,,,Humanoid,Tiefling,Fighter,,Female,Medium,9.0m,12.0m,75.0kg,15,Main Hand Attack,Longsword,,FALSE,,,,,Tiefling refugees,
Timmy the Orphan,,,Humanoid,Human,,,Male,Small,1.0m,1.0m,25.0kg,1,,,,FALSE,,,,,,
Tina Two-Thumbs,,,Humanoid,Halfling,,,Female,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
Seawind Tinsy Ralpp,,,Humanoid,Human,,,Female,Medium,11.0m,,75.0kg,320,"Concussive Smash,Entangle,Ice Knife,Main Hand Attack,Ray of Frost",Mace,,FALSE,,,,,Church of Umberlee,
Brawler Tiny,,,Humanoid,Goblin,,,Female,Small,9.0m,12.0m,35.0kg,10,"Flourish,Lacerate,Main Hand Attack,Throw Stone",Goblin Scimitar,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Tipplesome Patron,,,Humanoid,Human,,,,Medium,9.0m,18.0m,35.0kg,250,,,,FALSE,,,,,,
Tracker Tizg,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,20,"Hamstring Shot,Nimble Escape,Ranged Attack",Goblin Bow,,FALSE,,,,,Cult of the Absolute,
Toadbreath,,,Humanoid,Hobgoblin,,,Male,Medium,9.0m,16.0m,75.0kg,200,,,,FALSE,,,,,,
Togarr,,,Humanoid,Human,Fighter,,Female,Medium,9.0m,,75.0kg,250,Sweeping Attack,,,FALSE,,,,,Flaming Fist,
Tolna Tome-Monger,,,Humanoid,Human,,,Female,Medium,5.0m,,75.0kg,250,"Command: Drop,Command: Flee,Command: Grovel,Ray of Frost",,,FALSE,,,,,,
Tomboldt the Pallid,,,Humanoid,Drow,,,Male,Medium,9.0m,12.0m,75.0kg,250,"Acid Splash,Cloudkill,Melf's Acid Arrow,Main Hand Attack,Piercing Strike,Ray of Sickness",Dagger,,FALSE,,,,,Cult of Bane,
Tongs Stoneheart,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Tonsure Bellagio,,,Humanoid,Gnome,,,Male,Small,7.5m,12.0m,35.0kg,1,,,,FALSE,,,,,,
Tooralooralayo,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Torgga,,,Humanoid,Dwarf,Ranger,,Female,Medium,7.5m,16.0m,75.0kg,15,"Ensnaring Strike,Main Hand Attack,Ranged Attack","Shortbow,Dagger",,FALSE,,,,,Overgrown Ruin Looters,
Torin Crysst,,,Humanoid,Human,,,Male,Medium,9.0m,,25.0kg,,,,,FALSE,,,,Noira Crysst (mother)Horus Crysst (father),,
Toron,,,Humanoid,Tiefling,,,Male,Medium,9.0m,12.0m,75.0kg,1,"Main Hand Attack,Rush Attack",Pitchfork,,FALSE,,,,,Tiefling refugees,
Tracker Torrack,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,15,"Hamstring Shot,Nimble Escape,Ranged Attack",Goblin Bow,,FALSE,,,,,Cult of the Absolute,
Tracker Tozad,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,20,"Ensnaring Strike (Ranged),Hamstring Shot,Nimble Escape,Ranged Attack,Worg Companion",Goblin Bow,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Youth Tra’an,,,Humanoid,Githyanki,,,Male,Medium,9.0m,,75.0kg,75,"Lacerate,Main Hand Attack,Pommel Strike,Rush Attack",Longsword,,FALSE,,,,,Crèche Y'llek,
Cashguard Artillerist Triava,,,Humanoid,Human,,,,Medium,9.0m,,75.0kg,250,"Main Hand Attack,Ranged Attack","Rapier,Heavy Crossbow",,FALSE,,,,,,
Trina,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Trinigan Gazotts,,,Humanoid,Elf,,,Male,Medium,9.0m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Trinoda,,,Humanoid,Elf,Ranger,,Female,Medium,9.0m,12.0m,75.0kg,320,"Cunning Action: Dash,Ranged Attack,Sneak Attack (Ranged)",Longbow +1,,FALSE,,,,,,
Warrior Trinzas,,,Humanoid,Goblin,Fighter,,Female,Small,9.0m,12.0m,35.0kg,20,"Lacerate,Main Hand Attack,Menacing Attack (Melee),Throw Stone",Greataxe,,FALSE,,,,,Cult of the Absolute,
Fist Recruit Tristan,,,Humanoid,Human,Ranger,,Male,Medium,9.0m,,75.0kg,40,"Brace (Ranged),Piercing Shot,Ranged Attack",Heavy Crossbow,,FALSE,,,,,Flaming Fist,
Truffles Smythe,,,Humanoid,Human,,,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,,,
Warrior Trunk,,,Humanoid,Goblin,Fighter,,,Small,9.0m,12.0m,35.0kg,15,"Lacerate,Main Hand Attack,Menacing Attack (Melee),Throw Stone",Handaxe,,FALSE,,,,,Cult of the Absolute,
Trynn,,,Humanoid,Halfling,Ranger,,Female,Small,7.5m,,35.0kg,40,"Ensnaring Strike,Hunter's Mark,Main Hand Attack,Ranged Attack","Shortbow,Dagger",,FALSE,,,,,,
Ch'r'ai Tska'an,,,Humanoid,Githyanki,Warlock,,Female,Medium,9.0m,24.0m,75.0kg,200,"Astral Step,Eldritch Blast,Form of Dread,Light,Vampiric Touch",,,TRUE,,,,,Vlaakith Loyalist,Avatar of Vlaakith
Warlock Tud,,,Humanoid,Goblin,Warlock,,Female,Small,9.0m,12.0m,35.0kg,20,"Armour of Agathys,Eldritch Blast,Hex,Lacerate,Main Hand Attack",Handaxe,,FALSE,,,,,,Novice of the Absolute
Tud Whetstone,,,Humanoid,Dwarf,,,Male,Medium,7.5m,9.0m,75.0kg,1,,,,FALSE,,,,,,
Tugelnhorn,,,Humanoid,Dwarf,,,Female,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Tuloria,,,Humanoid,Human,,,Female,Medium,9.0m,,35.0kg,1,,,,FALSE,,,,,,
Harper Tumeril,,,Humanoid,Elf,Wizard,,Male,Medium,9.0m,12.0m,75.0kg,90,"Fire Bolt,Main Hand Attack,Mirror Image,Piercing Strike,Scorching Ray",Dagger,,FALSE,,,,,Harpers,
Turnip Bubbs,,,Humanoid,Dwarf,,,Male,Medium,7.5m,12.0m,75.0kg,1,,,,FALSE,,,,,,
Tusgront,,,Humanoid,Half-orc,Barbarian,,,Medium,9.0m,18.0m,100.0kg,250,"Cleave,Main Hand Attack,Rage: Wolf Heart,Reckless Attack",Greataxe,,FALSE,,,,,The Guild,
Tut Thistlebog,,,Humanoid,Halfling,,,Male,Small,7.5m,,35.0kg,1,,,,FALSE,,,,,,
